image_id,ar,num_input_candidates,num_valid_candidates,num_effective_candidates,num_cheap_kept,num_expensive_eval,selected_k,decision_type,delta_improve
sstk_image_1417816985,4:3,141,141,141,31,31,5,crop,1.0529116570729218
pond5_image_167262837,1:1,115,115,115,30,30,5,crop,4.060307936575509
pond5_image_167262837,9:16,58,58,58,30,30,5,crop,7.8013359962261895
pond5_image_167262837,16:9,121,121,121,30,30,5,crop,0.6820027575373923
pond5_image_167262837,3:4,66,66,66,30,30,5,crop,5.95222814907609
pond5_image_167262837,4:3,127,127,127,30,30,5,minimal_crop,0.0199458620425641
sstk_image_1752313391,1:1,181,180,180,30,30,5,crop,0.35115813019754505
sstk_image_1752313391,9:16,96,96,96,30,30,5,minimal_crop,0.0
sstk_image_1752313391,16:9,102,102,102,30,30,5,minimal_crop,0.0
sstk_image_1752313391,3:4,122,122,122,30,30,5,minimal_crop,0.0
sstk_image_1752313391,4:3,127,127,127,30,30,5,minimal_crop,0.0
sstk_image_2197914725,1:1,127,127,127,30,30,5,minimal_crop,0.0
sstk_image_2197914725,9:16,71,71,71,30,30,5,crop,2.8735874432979123
sstk_image_2197914725,16:9,158,158,158,31,31,5,crop,0.9487898053907828
sstk_image_2197914725,3:4,77,77,77,30,30,5,minimal_crop,0.025532846378318097
sstk_image_2197914725,4:3,172,172,172,31,31,5,minimal_crop,0.0007000674257665596
sstk_image_1630619635,1:1,130,130,130,30,30,5,minimal_crop,0.0018136201685607922
sstk_image_1630619635,9:16,74,74,74,30,30,5,minimal_crop,0.0
sstk_image_1630619635,16:9,141,141,141,31,31,5,crop,2.51899152764413
sstk_image_1630619635,3:4,92,92,92,30,30,5,minimal_crop,0.018647667765617326
sstk_image_1630619635,4:3,181,181,181,30,30,5,minimal_crop,0.007303210347508582
pond5_image_35574587,1:1,134,134,134,30,30,5,crop,1.7057519860772663
pond5_image_35574587,9:16,145,145,145,30,30,5,crop,0.23133584773433036
pond5_image_35574587,16:9,69,69,69,30,30,5,crop,3.0321745286061805
pond5_image_35574587,3:4,166,166,166,30,30,5,crop,0.781468818516078
pond5_image_35574587,4:3,77,77,77,30,30,5,crop,2.294900506762443
sstk_image_1203855442,1:1,115,115,115,31,31,5,minimal_crop,0.0
sstk_image_1203855442,9:16,72,72,72,30,30,5,crop,0.06774959970139383
sstk_image_1203855442,16:9,122,122,122,31,31,5,minimal_crop,0.034275636076927185
sstk_image_1203855442,3:4,71,71,71,30,30,5,minimal_crop,0.0014236837625503096
sstk_image_1203855442,4:3,145,145,145,31,31,5,minimal_crop,0.0
sstk_image_2335267097,1:1,117,117,117,30,30,5,minimal_crop,0.02193705422161396
sstk_image_2335267097,9:16,69,69,69,30,30,5,crop,6.696045460638451
sstk_image_2335267097,16:9,168,168,168,31,31,5,minimal_crop,0.00757154099583035
sstk_image_2335267097,3:4,73,73,73,30,30,5,crop,3.3513904670237844
sstk_image_2335267097,4:3,147,147,147,30,30,5,minimal_crop,0.01854640963154819
bigstock_image_1599598,1:1,183,182,182,30,30,5,crop,0.7856282757699635
bigstock_image_1599598,9:16,87,87,87,30,30,5,crop,0.2350723391801005
bigstock_image_1599598,16:9,105,105,105,30,30,5,crop,2.623797972648232
bigstock_image_1599598,3:4,110,110,110,30,30,5,minimal_crop,0.0005892002761095361
bigstock_image_1599598,4:3,131,131,131,30,30,5,crop,1.985913245093358
sstk_image_421387531,1:1,110,110,110,30,30,5,minimal_crop,0.0
sstk_image_421387531,9:16,51,51,51,30,30,5,minimal_crop,0.0
sstk_image_421387531,16:9,163,163,163,30,30,5,crop,0.9781466452567125
sstk_image_421387531,3:4,58,58,58,30,30,5,minimal_crop,0.0
sstk_image_421387531,4:3,143,143,143,30,30,5,minimal_crop,0.0
sstk_image_2016066875,1:1,106,106,106,30,30,5,crop,4.250513634750781
sstk_image_2016066875,9:16,53,53,53,30,30,5,crop,10.742910889394441
sstk_image_2016066875,16:9,141,141,141,30,30,5,minimal_crop,0.00039596668525210266
sstk_image_2016066875,3:4,59,59,59,30,30,5,crop,8.147234773320633
sstk_image_2016066875,4:3,121,121,121,30,30,5,crop,1.057755202453305
pond5_image_63364229,1:1,116,116,116,30,30,5,crop,3.029045265602768
pond5_image_63364229,9:16,69,69,69,30,30,5,crop,5.301406392887701
pond5_image_63364229,16:9,140,140,140,30,30,5,crop,1.5633944211354855
pond5_image_63364229,3:4,65,65,65,30,30,5,crop,3.9950845220715543
pond5_image_63364229,4:3,153,153,153,30,30,5,crop,1.107038405727875
sstk_image_1509565475,1:1,115,36,36,30,30,5,minimal_crop,0.009492790699005216
sstk_image_1509565475,9:16,56,9,9,9,9,5,minimal_crop,0.0
sstk_image_1509565475,16:9,131,14,14,14,14,5,crop,0.31713623792500156
sstk_image_1509565475,3:4,59,31,31,30,30,5,crop,2.5647724938592704
sstk_image_1509565475,4:3,144,42,42,30,30,5,minimal_crop,0.012014990198272457
sstk_image_97178096,1:1,135,135,135,30,30,5,crop,1.110701460592174
sstk_image_97178096,9:16,123,123,123,30,30,5,minimal_crop,0.0
sstk_image_97178096,16:9,72,72,72,30,30,5,crop,1.9628904645103784
sstk_image_97178096,3:4,199,199,199,30,30,5,crop,0.5302841173763516
sstk_image_97178096,4:3,112,112,112,30,30,5,crop,1.4733782264288582
